<b>== NPC NavMesh ==</b>
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 119,97 m, PathTime: 30,53 s, CalcTime: 0,10 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 112,48 m, PathTime: 31,29 s, CalcTime: 0,09 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 124,44 m, PathTime: 30,60 s, CalcTime: 0,16 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 115,48 m, PathTime: 31,29 s, CalcTime: 0,09 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 116,73 m, PathTime: 31,29 s, CalcTime: 0,10 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 103,35 m, PathTime: 31,28 s, CalcTime: 0,11 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 105,45 m, PathTime: 31,28 s, CalcTime: 0,11 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 115,73 m, PathTime: 30,57 s, CalcTime: 0,10 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 104,14 m, PathTime: 31,28 s, CalcTime: 0,11 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 117,72 m, PathTime: 30,60 s, CalcTime: 0,12 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 115,94 m, PathTime: 30,57 s, CalcTime: 0,12 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 104,54 m, PathTime: 31,29 s, CalcTime: 0,10 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 116,57 m, PathTime: 31,29 s, CalcTime: 0,10 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 116,60 m, PathTime: 29,20 s, CalcTime: 0,12 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 121,44 m, PathTime: 29,24 s, CalcTime: 0,10 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 116,45 m, PathTime: 31,30 s, CalcTime: 0,17 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 113,26 m, PathTime: 31,29 s, CalcTime: 0,10 ms
