<b>== NPC NavMesh ==</b>
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 89,40 m, PathTime: 26,66 s, CalcTime: 0,07 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 93,04 m, PathTime: 30,92 s, CalcTime: 0,04 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 89,64 m, PathTime: 25,42 s, CalcTime: 0,06 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 92,39 m, PathTime: 29,90 s, CalcTime: 0,05 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 86,61 m, PathTime: 23,33 s, CalcTime: 0,05 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 89,72 m, PathTime: 25,39 s, CalcTime: 0,05 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 88,75 m, PathTime: 24,06 s, CalcTime: 0,05 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 92,34 m, PathTime: 30,92 s, CalcTime: 0,05 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 87,74 m, PathTime: 24,06 s, CalcTime: 0,04 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 93,29 m, PathTime: 30,93 s, CalcTime: 0,06 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 93,93 m, PathTime: 30,93 s, CalcTime: 0,04 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 88,93 m, PathTime: 23,26 s, CalcTime: 0,04 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 91,80 m, PathTime: 27,73 s, CalcTime: 0,08 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 92,35 m, PathTime: 30,93 s, CalcTime: 0,06 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 93,88 m, PathTime: 30,93 s, CalcTime: 0,05 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 88,43 m, PathTime: 24,75 s, CalcTime: 0,06 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 89,91 m, PathTime: 26,11 s, CalcTime: 0,04 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 87,88 m, PathTime: 23,26 s, CalcTime: 0,05 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 88,76 m, PathTime: 22,19 s, CalcTime: 0,06 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 94,63 m, PathTime: 30,93 s, CalcTime: 0,05 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 92,67 m, PathTime: 30,93 s, CalcTime: 0,05 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 88,55 m, PathTime: 25,11 s, CalcTime: 0,05 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 87,83 m, PathTime: 23,26 s, CalcTime: 0,07 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 87,71 m, PathTime: 21,12 s, CalcTime: 0,07 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 88,33 m, PathTime: 23,26 s, CalcTime: 0,05 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 87,96 m, PathTime: 25,11 s, CalcTime: 0,04 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 88,35 m, PathTime: 26,11 s, CalcTime: 0,05 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 88,51 m, PathTime: 24,80 s, CalcTime: 0,05 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 91,67 m, PathTime: 30,93 s, CalcTime: 0,06 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 90,30 m, PathTime: 29,88 s, CalcTime: 0,06 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 92,05 m, PathTime: 29,88 s, CalcTime: 0,09 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 89,18 m, PathTime: 28,81 s, CalcTime: 0,07 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 92,43 m, PathTime: 30,93 s, CalcTime: 0,12 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 93,14 m, PathTime: 30,93 s, CalcTime: 0,06 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 87,95 m, PathTime: 22,19 s, CalcTime: 0,06 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 87,37 m, PathTime: 21,12 s, CalcTime: 0,07 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 89,19 m, PathTime: 27,74 s, CalcTime: 0,05 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 90,18 m, PathTime: 26,19 s, CalcTime: 0,08 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 89,07 m, PathTime: 23,81 s, CalcTime: 0,06 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 90,32 m, PathTime: 27,74 s, CalcTime: 0,07 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 88,97 m, PathTime: 28,81 s, CalcTime: 0,09 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 89,99 m, PathTime: 26,16 s, CalcTime: 0,06 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 88,69 m, PathTime: 22,20 s, CalcTime: 0,05 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 91,51 m, PathTime: 30,94 s, CalcTime: 0,07 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 85,44 m, PathTime: 19,44 s, CalcTime: 0,07 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 87,48 m, PathTime: 24,16 s, CalcTime: 0,10 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 90,93 m, PathTime: 30,93 s, CalcTime: 0,07 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 89,49 m, PathTime: 25,52 s, CalcTime: 0,05 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 88,79 m, PathTime: 22,19 s, CalcTime: 0,07 ms
