<b>== NPC NavMesh ==</b>
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 87,22 m, PathTime: 12,86 s, CalcTime: 0,04 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 87,91 m, PathTime: 12,86 s, CalcTime: 0,06 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 88,74 m, PathTime: 12,86 s, CalcTime: 0,05 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 87,41 m, PathTime: 12,86 s, CalcTime: 0,07 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 88,43 m, PathTime: 12,86 s, CalcTime: 0,03 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 89,65 m, PathTime: 12,86 s, CalcTime: 0,04 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 86,18 m, PathTime: 12,86 s, CalcTime: 0,04 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 86,45 m, PathTime: 12,86 s, CalcTime: 0,03 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 88,68 m, PathTime: 12,86 s, CalcTime: 0,04 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 89,19 m, PathTime: 12,86 s, CalcTime: 0,03 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 86,71 m, PathTime: 12,87 s, CalcTime: 0,02 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 90,96 m, PathTime: 12,87 s, CalcTime: 0,04 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 89,13 m, PathTime: 12,87 s, CalcTime: 0,03 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 87,66 m, PathTime: 12,87 s, CalcTime: 0,03 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 89,54 m, PathTime: 12,87 s, CalcTime: 0,03 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 89,22 m, PathTime: 12,87 s, CalcTime: 0,06 ms
