<b>== NPC NavMesh ==</b>
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 85,52 m, PathTime: 19,40 s, CalcTime: 0,12 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 78,72 m, PathTime: 19,40 s, CalcTime: 0,14 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 81,41 m, PathTime: 19,40 s, CalcTime: 0,12 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 81,16 m, PathTime: 19,40 s, CalcTime: 0,13 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 81,87 m, PathTime: 19,40 s, CalcTime: 0,13 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 85,00 m, PathTime: 19,40 s, CalcTime: 0,13 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 87,48 m, PathTime: 19,40 s, CalcTime: 0,13 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 86,11 m, PathTime: 19,40 s, CalcTime: 0,17 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 75,58 m, PathTime: 19,40 s, CalcTime: 0,15 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 87,21 m, PathTime: 19,40 s, CalcTime: 0,13 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 86,14 m, PathTime: 19,65 s, CalcTime: 0,20 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 83,11 m, PathTime: 19,65 s, CalcTime: 0,13 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 78,91 m, PathTime: 19,65 s, CalcTime: 0,18 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 83,05 m, PathTime: 19,65 s, CalcTime: 0,14 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 88,88 m, PathTime: 19,65 s, CalcTime: 0,13 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 83,96 m, PathTime: 19,65 s, CalcTime: 0,13 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 81,43 m, PathTime: 19,65 s, CalcTime: 0,12 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 81,21 m, PathTime: 19,65 s, CalcTime: 0,14 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 85,48 m, PathTime: 19,65 s, CalcTime: 0,14 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 81,58 m, PathTime: 19,65 s, CalcTime: 0,13 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 81,67 m, PathTime: 19,90 s, CalcTime: 0,13 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 88,26 m, PathTime: 19,90 s, CalcTime: 0,12 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 90,23 m, PathTime: 19,90 s, CalcTime: 0,14 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 83,59 m, PathTime: 19,90 s, CalcTime: 0,13 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 84,25 m, PathTime: 19,90 s, CalcTime: 0,19 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 79,26 m, PathTime: 19,90 s, CalcTime: 0,13 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 84,28 m, PathTime: 19,90 s, CalcTime: 0,13 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 80,01 m, PathTime: 19,90 s, CalcTime: 0,18 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 87,27 m, PathTime: 19,90 s, CalcTime: 0,21 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 81,79 m, PathTime: 19,90 s, CalcTime: 0,25 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 88,11 m, PathTime: 20,13 s, CalcTime: 0,12 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 79,50 m, PathTime: 20,13 s, CalcTime: 0,12 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 78,59 m, PathTime: 20,13 s, CalcTime: 0,13 ms
