<b>== NPC NavMesh ==</b>
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 95,06 m, PathTime: 21,09 s, CalcTime: 0,05 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 95,40 m, PathTime: 21,09 s, CalcTime: 0,04 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 93,79 m, PathTime: 21,09 s, CalcTime: 0,06 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 94,06 m, PathTime: 21,15 s, CalcTime: 0,08 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 95,09 m, PathTime: 21,09 s, CalcTime: 0,05 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 95,84 m, PathTime: 21,09 s, CalcTime: 0,06 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 95,90 m, PathTime: 21,09 s, CalcTime: 0,06 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 97,89 m, PathTime: 21,15 s, CalcTime: 0,07 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 96,92 m, PathTime: 21,15 s, CalcTime: 0,05 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 93,49 m, PathTime: 21,09 s, CalcTime: 0,05 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 94,62 m, PathTime: 21,05 s, CalcTime: 0,07 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 94,96 m, PathTime: 21,09 s, CalcTime: 0,04 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 93,57 m, PathTime: 21,09 s, CalcTime: 0,05 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 93,79 m, PathTime: 21,09 s, CalcTime: 0,06 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 93,71 m, PathTime: 21,09 s, CalcTime: 0,07 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 96,35 m, PathTime: 21,09 s, CalcTime: 0,05 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 95,11 m, PathTime: 21,09 s, CalcTime: 0,05 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 94,71 m, PathTime: 21,09 s, CalcTime: 0,04 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 95,55 m, PathTime: 21,09 s, CalcTime: 0,04 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 95,58 m, PathTime: 21,09 s, CalcTime: 0,05 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 94,91 m, PathTime: 21,05 s, CalcTime: 0,10 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 94,24 m, PathTime: 21,09 s, CalcTime: 0,05 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 93,68 m, PathTime: 21,05 s, CalcTime: 0,06 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 95,10 m, PathTime: 21,05 s, CalcTime: 0,06 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 94,48 m, PathTime: 21,09 s, CalcTime: 0,05 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 96,81 m, PathTime: 21,09 s, CalcTime: 0,05 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 96,09 m, PathTime: 20,98 s, CalcTime: 0,05 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 93,83 m, PathTime: 21,05 s, CalcTime: 0,06 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 93,79 m, PathTime: 20,98 s, CalcTime: 0,04 ms
