<b>== NPC NavMesh ==</b>
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 124,12 m, PathTime: 31,25 s, CalcTime: 0,15 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 111,49 m, PathTime: 25,56 s, CalcTime: 0,14 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 120,10 m, PathTime: 38,88 s, CalcTime: 0,27 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 124,93 m, PathTime: 42,89 s, CalcTime: 0,18 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 125,61 m, PathTime: 40,94 s, CalcTime: 0,14 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 121,47 m, PathTime: 42,85 s, CalcTime: 0,26 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 112,78 m, PathTime: 27,46 s, CalcTime: 0,15 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 110,15 m, PathTime: 27,46 s, CalcTime: 0,13 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 121,11 m, PathTime: 34,96 s, CalcTime: 0,25 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 122,63 m, PathTime: 40,89 s, CalcTime: 0,28 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 119,61 m, PathTime: 34,91 s, CalcTime: 0,17 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 119,93 m, PathTime: 34,91 s, CalcTime: 0,15 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 110,50 m, PathTime: 25,47 s, CalcTime: 0,15 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 121,12 m, PathTime: 38,88 s, CalcTime: 0,21 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 119,16 m, PathTime: 42,85 s, CalcTime: 0,26 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 125,04 m, PathTime: 38,82 s, CalcTime: 0,18 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 122,02 m, PathTime: 38,88 s, CalcTime: 0,26 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 125,24 m, PathTime: 42,85 s, CalcTime: 0,30 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 126,77 m, PathTime: 42,80 s, CalcTime: 0,16 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 121,69 m, PathTime: 34,96 s, CalcTime: 0,28 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 124,46 m, PathTime: 38,77 s, CalcTime: 0,29 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 120,63 m, PathTime: 31,10 s, CalcTime: 0,29 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 114,21 m, PathTime: 31,10 s, CalcTime: 0,28 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 119,59 m, PathTime: 32,93 s, CalcTime: 0,28 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 126,16 m, PathTime: 43,77 s, CalcTime: 0,29 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 125,78 m, PathTime: 38,77 s, CalcTime: 0,29 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 120,90 m, PathTime: 40,78 s, CalcTime: 0,32 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 118,30 m, PathTime: 32,93 s, CalcTime: 0,29 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 114,99 m, PathTime: 29,17 s, CalcTime: 0,30 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 117,18 m, PathTime: 32,93 s, CalcTime: 0,33 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 122,45 m, PathTime: 32,93 s, CalcTime: 0,32 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 109,55 m, PathTime: 25,41 s, CalcTime: 0,25 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 121,51 m, PathTime: 42,75 s, CalcTime: 0,29 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 121,08 m, PathTime: 40,78 s, CalcTime: 0,26 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 113,96 m, PathTime: 27,32 s, CalcTime: 0,33 ms
