<b>== NPC NavMesh ==</b>
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 80,76 m, PathTime: 25,64 s, CalcTime: 0,39 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 78,27 m, PathTime: 21,04 s, CalcTime: 0,10 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 81,76 m, PathTime: 20,14 s, CalcTime: 0,10 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 79,31 m, PathTime: 25,75 s, CalcTime: 0,10 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 80,07 m, PathTime: 22,64 s, CalcTime: 0,09 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 81,36 m, PathTime: 26,46 s, CalcTime: 0,09 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 83,22 m, PathTime: 26,63 s, CalcTime: 0,14 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 77,27 m, PathTime: 19,94 s, CalcTime: 0,09 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 83,04 m, PathTime: 21,08 s, CalcTime: 0,09 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 82,97 m, PathTime: 22,68 s, CalcTime: 0,09 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 78,18 m, PathTime: 19,72 s, CalcTime: 0,08 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 77,31 m, PathTime: 16,73 s, CalcTime: 0,08 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 80,80 m, PathTime: 17,82 s, CalcTime: 0,09 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 81,45 m, PathTime: 21,57 s, CalcTime: 0,10 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 77,95 m, PathTime: 21,43 s, CalcTime: 0,08 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 78,36 m, PathTime: 19,85 s, CalcTime: 0,08 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 77,06 m, PathTime: 17,84 s, CalcTime: 0,08 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 81,52 m, PathTime: 18,09 s, CalcTime: 0,09 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 80,13 m, PathTime: 22,24 s, CalcTime: 0,09 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 81,78 m, PathTime: 27,14 s, CalcTime: 0,08 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 80,54 m, PathTime: 24,68 s, CalcTime: 0,08 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 82,33 m, PathTime: 26,74 s, CalcTime: 0,09 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 77,53 m, PathTime: 21,47 s, CalcTime: 0,08 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 79,97 m, PathTime: 26,62 s, CalcTime: 0,08 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 78,71 m, PathTime: 19,02 s, CalcTime: 0,09 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 79,81 m, PathTime: 19,45 s, CalcTime: 0,08 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 78,73 m, PathTime: 21,62 s, CalcTime: 0,08 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 79,23 m, PathTime: 25,50 s, CalcTime: 0,08 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 79,61 m, PathTime: 22,29 s, CalcTime: 0,08 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 79,30 m, PathTime: 25,25 s, CalcTime: 0,08 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 80,01 m, PathTime: 23,73 s, CalcTime: 0,08 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 79,00 m, PathTime: 16,67 s, CalcTime: 0,09 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 78,39 m, PathTime: 17,95 s, CalcTime: 0,08 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 78,42 m, PathTime: 22,13 s, CalcTime: 0,09 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 81,10 m, PathTime: 26,46 s, CalcTime: 0,09 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 81,00 m, PathTime: 25,78 s, CalcTime: 0,08 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 82,57 m, PathTime: 27,13 s, CalcTime: 0,08 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 77,67 m, PathTime: 19,05 s, CalcTime: 0,09 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 78,58 m, PathTime: 19,30 s, CalcTime: 0,08 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 83,35 m, PathTime: 27,87 s, CalcTime: 0,09 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 78,60 m, PathTime: 17,59 s, CalcTime: 0,08 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 79,01 m, PathTime: 17,34 s, CalcTime: 0,10 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 77,77 m, PathTime: 22,94 s, CalcTime: 0,08 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 81,01 m, PathTime: 26,63 s, CalcTime: 0,08 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 79,90 m, PathTime: 18,27 s, CalcTime: 0,08 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 81,44 m, PathTime: 26,01 s, CalcTime: 0,09 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 79,47 m, PathTime: 19,41 s, CalcTime: 0,09 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 78,51 m, PathTime: 23,27 s, CalcTime: 0,09 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 79,16 m, PathTime: 22,05 s, CalcTime: 0,10 ms
[NavMesh NPC] NavM_NPC(Clone) - Distanza: 81,51 m, PathTime: 25,55 s, CalcTime: 0,09 ms
<b>Media distanza:</b> 79,90 m
<b>Media PathTime:</b> 22,24 s
<b>Media CalcTime:</b> 0,09 ms

<b>== NPC A* ==</b>
[A* NPC] AStar_NPC(Clone) - Distanza: 77,13 m, PathTime: 15,75 s, CalcTime: 8,82 ms
[A* NPC] AStar_NPC(Clone) - Distanza: 75,41 m, PathTime: 15,24 s, CalcTime: 10,27 ms
[A* NPC] AStar_NPC(Clone) - Distanza: 76,75 m, PathTime: 15,67 s, CalcTime: 8,01 ms
[A* NPC] AStar_NPC(Clone) - Distanza: 75,50 m, PathTime: 15,27 s, CalcTime: 10,24 ms
[A* NPC] AStar_NPC(Clone) - Distanza: 75,95 m, PathTime: 15,51 s, CalcTime: 7,98 ms
[A* NPC] AStar_NPC(Clone) - Distanza: 76,41 m, PathTime: 15,60 s, CalcTime: 7,96 ms
[A* NPC] AStar_NPC(Clone) - Distanza: 77,74 m, PathTime: 15,93 s, CalcTime: 8,70 ms
[A* NPC] AStar_NPC(Clone) - Distanza: 75,40 m, PathTime: 15,46 s, CalcTime: 10,16 ms
[A* NPC] AStar_NPC(Clone) - Distanza: 77,50 m, PathTime: 15,87 s, CalcTime: 8,66 ms
[A* NPC] AStar_NPC(Clone) - Distanza: 75,68 m, PathTime: 15,37 s, CalcTime: 7,89 ms
[A* NPC] AStar_NPC(Clone) - Distanza: 75,36 m, PathTime: 15,30 s, CalcTime: 10,10 ms
[A* NPC] AStar_NPC(Clone) - Distanza: 74,29 m, PathTime: 15,14 s, CalcTime: 10,08 ms
[A* NPC] AStar_NPC(Clone) - Distanza: 74,20 m, PathTime: 15,11 s, CalcTime: 19,25 ms
[A* NPC] AStar_NPC(Clone) - Distanza: 77,43 m, PathTime: 15,87 s, CalcTime: 8,58 ms
[A* NPC] AStar_NPC(Clone) - Distanza: 75,55 m, PathTime: 15,34 s, CalcTime: 7,82 ms
[A* NPC] AStar_NPC(Clone) - Distanza: 75,46 m, PathTime: 15,47 s, CalcTime: 7,80 ms
[A* NPC] AStar_NPC(Clone) - Distanza: 75,09 m, PathTime: 15,22 s, CalcTime: 19,19 ms
[A* NPC] AStar_NPC(Clone) - Distanza: 74,43 m, PathTime: 15,14 s, CalcTime: 19,17 ms
[A* NPC] AStar_NPC(Clone) - Distanza: 75,43 m, PathTime: 15,32 s, CalcTime: 19,15 ms
[A* NPC] AStar_NPC(Clone) - Distanza: 76,24 m, PathTime: 15,63 s, CalcTime: 7,74 ms
[A* NPC] AStar_NPC(Clone) - Distanza: 77,13 m, PathTime: 15,80 s, CalcTime: 8,45 ms
[A* NPC] AStar_NPC(Clone) - Distanza: 75,84 m, PathTime: 15,55 s, CalcTime: 7,69 ms
[A* NPC] AStar_NPC(Clone) - Distanza: 75,38 m, PathTime: 15,31 s, CalcTime: 19,07 ms
[A* NPC] AStar_NPC(Clone) - Distanza: 76,57 m, PathTime: 15,70 s, CalcTime: 7,66 ms
[A* NPC] AStar_NPC(Clone) - Distanza: 75,03 m, PathTime: 15,24 s, CalcTime: 19,03 ms
[A* NPC] AStar_NPC(Clone) - Distanza: 75,02 m, PathTime: 15,22 s, CalcTime: 19,01 ms
[A* NPC] AStar_NPC(Clone) - Distanza: 76,09 m, PathTime: 15,60 s, CalcTime: 7,61 ms
[A* NPC] AStar_NPC(Clone) - Distanza: 77,21 m, PathTime: 15,82 s, CalcTime: 8,32 ms
[A* NPC] AStar_NPC(Clone) - Distanza: 76,72 m, PathTime: 15,72 s, CalcTime: 7,57 ms
[A* NPC] AStar_NPC(Clone) - Distanza: 76,44 m, PathTime: 15,67 s, CalcTime: 7,55 ms
[A* NPC] AStar_NPC(Clone) - Distanza: 75,73 m, PathTime: 15,39 s, CalcTime: 7,53 ms
[A* NPC] AStar_NPC(Clone) - Distanza: 74,42 m, PathTime: 15,14 s, CalcTime: 18,85 ms
[A* NPC] AStar_NPC(Clone) - Distanza: 74,47 m, PathTime: 15,14 s, CalcTime: 18,83 ms
[A* NPC] AStar_NPC(Clone) - Distanza: 76,21 m, PathTime: 15,62 s, CalcTime: 7,49 ms
[A* NPC] AStar_NPC(Clone) - Distanza: 77,46 m, PathTime: 15,87 s, CalcTime: 8,19 ms
[A* NPC] AStar_NPC(Clone) - Distanza: 76,41 m, PathTime: 15,68 s, CalcTime: 7,46 ms
[A* NPC] AStar_NPC(Clone) - Distanza: 76,10 m, PathTime: 15,61 s, CalcTime: 7,44 ms
[A* NPC] AStar_NPC(Clone) - Distanza: 74,74 m, PathTime: 15,16 s, CalcTime: 18,74 ms
[A* NPC] AStar_NPC(Clone) - Distanza: 75,09 m, PathTime: 15,27 s, CalcTime: 18,72 ms
[A* NPC] AStar_NPC(Clone) - Distanza: 76,55 m, PathTime: 15,70 s, CalcTime: 7,39 ms
[A* NPC] AStar_NPC(Clone) - Distanza: 75,56 m, PathTime: 15,37 s, CalcTime: 7,38 ms
[A* NPC] AStar_NPC(Clone) - Distanza: 74,70 m, PathTime: 15,16 s, CalcTime: 5,76 ms
[A* NPC] AStar_NPC(Clone) - Distanza: 75,58 m, PathTime: 15,51 s, CalcTime: 7,33 ms
[A* NPC] AStar_NPC(Clone) - Distanza: 75,85 m, PathTime: 15,56 s, CalcTime: 7,32 ms
[A* NPC] AStar_NPC(Clone) - Distanza: 75,78 m, PathTime: 15,55 s, CalcTime: 7,30 ms
[A* NPC] AStar_NPC(Clone) - Distanza: 76,67 m, PathTime: 15,73 s, CalcTime: 8,00 ms
[A* NPC] AStar_NPC(Clone) - Distanza: 75,96 m, PathTime: 15,58 s, CalcTime: 7,27 ms
[A* NPC] AStar_NPC(Clone) - Distanza: 75,96 m, PathTime: 15,59 s, CalcTime: 7,26 ms
[A* NPC] AStar_NPC(Clone) - Distanza: 77,02 m, PathTime: 15,79 s, CalcTime: 7,95 ms
[A* NPC] AStar_NPC(Clone) - Distanza: 76,35 m, PathTime: 15,66 s, CalcTime: 7,22 ms
<b>Media distanza:</b> 75,90 m
<b>Media PathTime:</b> 15,50 s
<b>Media CalcTime:</b> 10,46 ms

